rank,ticker,price,expected_irr,median_irr,p10_irr,p90_irr,above_hurdle_weight,hurdle_rate,permanent_loss_weight,worst_case_shortfall,worst_case_hurdle_gap,expected_shortfall,hurdle_cvar,intrinsic_value_low,intrinsic_value_base,intrinsic_value_high,intrinsic_value_bear,intrinsic_value_bull,scenario_order_inversion,scenario_order_note,upside_to_base,model_confidence,data_confidence,model_uncertainty,business_quality,valuation_excess,evidence_confidence,valuation_status,invalid_reason,invalid_fields,assumption_flags,valuation_alerts,requires_manual_review,roic_status,catastrophic_tail_floor_applied,catastrophic_tail_scenarios,name,sector,industry,model_family,market_cap,financial_persistence_score,roic,incremental_roic,wacc,roic_minus_wacc,normalized_operating_margin,current_operating_margin,revenue_cagr,net_debt_to_ebitda,sbc_intensity,net_share_change_cagr,risk_flags,years_of_data,latest_fiscal_year,anchor_source,latest_filing_date,price_as_of,is_price_fresh,shares_outstanding,beta,specialist_model_note,downside_penalty,ambiguity_penalty,permanent_loss_penalty,hurdle_penalty,robust_return,ineligible_reasons,eligible
1,UHS,158.33,0.2800254860034329,0.2983985316357575,0.12720271989819595,0.3961021608440206,1.0,0.12,0.0,0.0,0.0,0.0,0.0,177.83874716293,329.48191198832575,465.7948726291507,177.83874716293,465.7948726291507,False,,1.0809822016568291,0.7677,1.0,0.14141872047291232,0.7829,0.17839853163575753,0.7677,valid,,,share_change_floor_hit;intrinsic_2x_price,,False,ok,False,,"Universal Health Services, Inc.",Healthcare,Medical - Care Facilities,general_dcf,9912461179.0,0.7829,0.12468849972603302,0.22875878037240152,0.08085338218367222,0.0438351175423608,0.10734202554714209,0.11497840885602606,0.0705902397892153,1.87669620079509,0.006142007240454682,-0.05801175829131966,,8.0,2025.0,ttm,2026-05-07,2026-07-02,True,,,,0.0,0.07070936023645616,0.0,0.0,0.13695655273677107,,True
2,FOXA,56.48,0.28794399957405403,0.31076018144376577,0.11767130412627014,0.41258433128241445,0.75,0.12,0.0,0.0,0.002328695873729858,0.0,0.002328695873729858,69.06284458791374,136.2470136578029,192.13934402233303,69.06284458791374,192.13934402233303,False,,1.412305482609825,0.6848550000000001,1.0,0.15691086357807216,0.901,0.19076018144376578,0.6848550000000001,valid,,,forward_roic_cap_hit;share_change_floor_hit;intrinsic_2x_price,,False,ok,False,,Fox Corporation,Communication Services,Entertainment,general_dcf,24766753533.0,0.901,0.16895503711597137,0.8856477997370426,0.06524894817809566,0.10370608893787571,0.2005283937430593,0.19727177334732424,0.06996718821585945,0.8351403947734223,0.006437768240343348,-0.0882628934835914,,8.0,2025.0,ttm,2026-05-11,2026-07-02,True,,,,0.0,0.07845543178903608,0.0,0.002328695873729858,0.12831436818894038,,True
3,CTSH,41.99,0.24386668883380486,0.2534032388124616,0.15112320713233204,0.31753707057796415,1.0,0.12,0.0,0.0,0.0,0.0,0.0,54.4688090043784,77.81627197054618,98.27331617629844,54.4688090043784,98.27331617629844,False,,0.8532096206369655,0.8728,1.0,0.08702293172281605,0.8706,0.13340323881246158,0.8728,valid,,,,,False,ok,False,,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,general_dcf,19897759310.0,0.8706,0.1723955492618894,0.1406886596808351,0.08330323084059112,0.08909231842129829,0.14961661544644123,0.1566383257030739,0.03921825270499446,-0.10875127942681678,0.008867044993919741,-0.02773719033995936,,8.0,2025.0,ttm,2026-04-29,2026-07-02,True,,,,0.0,0.04351146586140803,0.0,0.0,0.11643434683551647,,True
4,VICI,27.19,0.2861634629782821,0.3323514014556084,0.14759964754630328,0.3323514014556084,1.0,0.12,0.0,0.0,0.0,0.0,0.0,54.120430004309334,114.15715135935713,114.15715135935713,54.120430004309334,114.15715135935713,False,,3.1984976594099717,0.6,0.8,0.11037587695465254,0.4740870752279265,0.21235140145560838,0.48,valid,,,specialist_model_v1,,False,specialist,False,,VICI Properties Inc.,Real Estate,REIT - Specialty,reit,29277652709.829323,,,,,,,,,,,,,,,,,2026-07-02,True,1076780165.8635278,0.676,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail,0.0,0.05518793847732627,0.0,0.0,0.10192867269869202,,True
5,OMC,78.62,0.2497908066638047,0.2565579729154706,0.1656032134662383,0.3204440673580393,1.0,0.12,0.0,0.0,0.0,0.0,0.0,123.75580364490641,183.6905451429708,237.98982573398303,123.75580364490641,237.98982573398303,False,,1.3364353236195723,0.679266,0.85,0.09154244694590051,0.8027,0.13655797291547062,0.5773761000000001,valid,,,base_growth_cap_hit;reinvestment_cap_hit;intrinsic_2x_price,,False,ok,False,,Omnicom Group Inc.,Communication Services,Advertising Agencies,general_dcf,22407187130.0,0.8027,0.10625854426677338,0.02465586598481794,0.06561597413140141,0.040642570135371966,0.14642359336986555,0.14972875016645534,0.017562263432874925,2.06084951795445,0.005825700645671198,-0.0033931429086506704,incremental_roic_below_wacc,8.0,2025.0,annual,2026-02-20,2026-07-02,True,,,,0.0,0.045771223472950255,0.0,0.0,0.07884530982584007,,True
6,ARE,52.58,0.23084687824900696,0.25418679410476974,0.1608271306817186,0.25418679410476974,1.0,0.12,0.0,0.0,0.0,0.0,0.0,110.83025458642908,163.16676369668727,163.16676369668727,110.83025458642908,163.16676369668727,False,,2.103209655699644,0.6,0.8,0.06467983171152555,0.6792452830188679,0.13418679410476975,0.48,valid,,,specialist_model_v1,,False,specialist,False,,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,reit,9163064020.0,,,,,,,,,,,,,,,,,2026-07-02,True,174269000.0,1.202,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail,0.0,0.03233991585576278,0.0,0.0,0.06440966117028947,,True
7,TTD,19.1,0.242271580779925,0.27161832181736834,0.07106442879885437,0.35478525068610905,0.75,0.12,0.0,0.0,0.048935571201145625,0.0,0.048935571201145625,17.65605480243949,36.79460031754332,48.7544788117607,17.65605480243949,48.7544788117607,False,,0.926418864792844,0.713,1.0,0.15047041094362734,0.9118,0.15161832181736834,0.713,valid,,,,,False,ok,False,,"The Trade Desk, Inc.",Communication Services,Advertising Agencies,general_dcf,8979069943.0,0.9118,0.3288207697076124,0.48860470771143266,0.09470487684370815,0.23411589286390427,0.1711063344506371,0.20259066659481598,0.29379367691523206,-1.3554265927034115,0.20234486555512426,-0.015605915567558415,heavy_sbc,8.0,2025.0,ttm,2026-05-07,2026-07-02,True,,,,0.0,0.07523520547181367,0.0,0.048935571201145625,0.059168292254638,,True
8,ACN,137.35,0.18987851096026137,0.20051923185237686,0.10535149106290195,0.2531240890733898,0.75,0.12,0.0,0.0,0.014648508937098043,0.0,0.014648508937098043,144.3847794734566,203.05669703395648,246.04749894898868,144.3847794734566,246.04749894898868,False,,0.4783887661736912,0.8805,1.0,0.07747129900524392,0.9914,0.08051923185237686,0.8805,valid,,,,,False,ok,False,,Accenture plc,Technology,Information Technology Services,general_dcf,84050248671.0,0.9914,0.27626761611460315,0.1529257172134055,0.09358422909195305,0.1826833870226501,0.14685586785883348,0.14870495924143984,0.0787194628184662,-0.14013902069557826,0.029918271047864795,-0.01433226453267622,,8.0,2025.0,ttm,2026-06-18,2026-07-02,True,,,,0.0,0.03873564950262196,0.0,0.014648508937098043,0.05624867470891978,,True
9,CMCSA,23.79,0.18892252802033915,0.18433135792147373,0.14855256511364134,0.2384748311247677,1.0,0.12,0.0,0.0,0.0,0.0,0.0,30.82128497316937,38.948187444777375,52.3852948171852,30.82128497316937,52.3852948171852,False,,0.6371663490869011,0.54318519,0.85,0.06316557730556317,0.7638,0.06433135792147374,0.4617074115,valid,,,forward_roic_floor_hit;share_change_floor_hit;wacc_floor_hit;reinvestment_cap_hit,,False,ok,False,,Comcast Corporation,Communication Services,Telecommunications Services,general_dcf,84983317109.0,0.7638,0.08412354861205212,-0.010702595763399403,0.065,0.01912354861205212,0.1873066409912772,0.1528360925302128,0.039212419385326935,2.407101662331788,0.010207942618366071,-0.06535161292900282,thin_interest_coverage;incremental_roic_below_wacc,8.0,2025.0,ttm,2026-04-23,2026-07-02,True,,,,0.0,0.031582788652781586,0.0,0.0,0.02970226474420366,,True
10,BXP,69.32,0.1812841148906808,0.20680439848341248,0.10472326411248578,0.20680439848341248,0.75,0.12,0.0,0.0,0.015276735887514215,0.0,0.015276735887514215,114.05807908098647,177.43650561485447,177.43650561485447,114.05807908098647,177.43650561485447,False,,1.5596726141785124,0.6,0.8,0.06904056718546334,0.6428106701366297,0.08680439848341248,0.48,valid,,,specialist_model_v1,,False,specialist,False,,"BXP, Inc.",Real Estate,REIT - Office,reit,11054972744.0,,,,,,,,,,,,,,,,,2026-07-02,True,159477390.9982689,1.062,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail,0.0,0.03452028359273167,0.0,0.015276735887514215,0.026389375384523774,,True
